fecha,id_respuesta,canal,producto,satisfaccion,comentario,tienda,agente
2025-11-08,4453,web,Smartphone S10,7,Amable la atención,,Lucia
2025-12-29,434,web,Aspiradora V8,7,Buen rendimiento,,Carmen
2025-12-07,2153,telefono,Smartphone S10,0,La entrega se retrasó,Murcia,Miguel
2025-11-22,4341,telefono,Lavadora L2,10,Amable la atención,,Laura
2025-12-01,2905,tienda,Lavadora L2,5,Muy útil la explicación del técnico,Cartagena,Miguel
2025-12-02,4660,tienda,  Auriculares H7  ,3,"Todo bien, entrega rápida",,Lucia
xx,1229,tienda,Portátil X1,6,Amable la atención,Lorca,Lucia
2025-11-15,4692,web,Televisor Z3,1,La entrega se retrasó,,Lucia
2025-12-03,4220,web,Portátil X1,2,Muy buena atención,,Laura
2025-12-04,4393,web,Televisor Z3,10,Muy buena atención,,Miguel
2025-11-26,3290,telefono,Auriculares H7,1,  Muy útil la explicación del técnico  ,Lorca,Lucia
2025-12-04,1123,tienda,Lavadora L2,9,,,Laura
2025-12-12,4926,telefono,Aspiradora V8,3,Amable la atención,Lorca,Lucia
2025-11-23,3610,tienda,  Auriculares H7  ,8,La entrega se retrasó,,Carmen
2025-12-15,447,tienda,Smartphone S10,6,Amable la atención,,Lucia
2025-12-09,4389,telefono,Auriculares H7,8,,Lorca,Carmen
2025-12-26,2121,telefono,Aspiradora V8,1,Muy buena atención,,Antonio
2025-12-21,2902,web,  Televisor Z3  ,3,Amable la atención,,Lucia
2025-12-15,906,web,Aspiradora V8,6,La entrega se retrasó,,Antonio
2025-11-15,1671,tienda,Auriculares H7,11,Buen rendimiento (act.),Lorca,Miguel
2025-11-09,4889,telefono,Auriculares H7,3,Muy útil la explicación del técnico,,Lucia
2025-12-07,1565,web,Lavadora L2,10,Podría ser más potente,,Lucia
2025-11-18,2129,web,Portátil X1,1,El sonido se corta a veces,,Antonio
2025-12-31,346,web,Portátil X1,10,Amable la atención,,Carmen
2025-11-20,568,web,Aspiradora V8,5,Podría ser más potente,,Carmen
2025-11-23,3448,telefono,Lavadora L2,6,Muy útil la explicación del técnico,,Laura
2025-11-04,2384,web,  Televisor Z3  ,8,El sonido se corta a veces,,Laura
2025-12-04,1399,telefono,  Auriculares H7  ,No sabe/No contesta,Amable la atención,,Laura
2025-12-08,3683,telefono,Aspiradora V8,8,Muy buena atención,Murcia,Carmen
2025-11-27,3471,web,Televisor Z3,8,"Todo bien, entrega rápida",,Carmen
2025-12-13,4658,tienda,Auriculares H7,7,El sonido se corta a veces,,Miguel
2025-12-07,4076,web,Televisor Z3,2,Podría ser más potente,,Miguel
2025-12-21,3622,telefono,  Televisor Z3  ,1,La entrega se retrasó,Murcia,Carmen
2025-11-08,1403,telefono,Televisor Z3,8,Amable la atención,,Miguel
2025-12-24,2056,web,Televisor Z3,6,El sonido se corta a veces,,Miguel
2025-11-20,2035,web,  Portátil X1  ,10,Amable la atención,,Antonio
2025-11-18,733,telefono,Auriculares H7,10,  Podría ser más potente  ,Cartagena,Laura
2025-12-19,2415,tienda,  Smartphone S10  ,6,Amable la atención,,Carmen
31-12-2025,583,web,Lavadora L2,1,Buen rendimiento,,Antonio
2025-12-31,453,web,Auriculares H7,8,El sonido se corta a veces,,Laura
2025-11-10,3504,telefono,  Auriculares H7  ,3,El sonido se corta a veces,,Antonio
2025-12-15,146,telefono,Smartphone S10,3,Amable la atención,,Antonio
2025-11-25,247,telefono,Auriculares H7,diez,Muy útil la explicación del técnico,,Carmen
2025-12-17,2040,tienda,Aspiradora V8,10,Amable la atención,,Lucia
2025-12-22,4915,web,Lavadora L2,5,Buen rendimiento,,Lucia
2025-12-08,2054,telefono,Auriculares H7,4,,Lorca,Carmen
2025-12-29,3920,telefono,Smartphone S10,10,El sonido se corta a veces,Lorca,Carmen
2025-11-20,4060,telefono,Auriculares H7,10,El sonido se corta a veces,Cartagena,Laura
2025-12-05,4043,tienda,Aspiradora V8,9,La entrega se retrasó,,Laura
2025-11-21,501,web,Portátil X1,9,Amable la atención,,Laura
2025-12-18,3889,web,Auriculares H7,1,Buen rendimiento,,Antonio
2025-12-02,4224,web,Auriculares H7,8,La entrega se retrasó,,Miguel
2025-11-16,3211,tienda,Televisor Z3,2,Amable la atención,,Laura
2025-11-07,1273,telefono,  Portátil X1  ,diez,Amable la atención,,Lucia
2025-11-03,3967,telefono,Auriculares H7,9,Buen rendimiento,,Miguel
2025-12-25,4202,tienda,Portátil X1,2,Muy útil la explicación del técnico,,Miguel
2025-11-16,4318,web,Auriculares H7,2,Buen rendimiento,,Antonio
2025-12-10,2041,telefono,Aspiradora V8,5,,,Miguel
2025-12-10,3285,telefono,Televisor Z3,7,La entrega se retrasó,,Carmen
2025-12-21,79,telefono,Aspiradora V8,4,Muy útil la explicación del técnico,,Antonio
2025-12-07,4904,telefono,Auriculares H7,3,Muy buena atención,,Lucia
2025-12-08,326,telefono,Televisor Z3,2,,,Laura
2025-12-19,1283,tienda,Portátil X1,7,"Todo bien, entrega rápida",Murcia,Carmen
2025-12-24,1635,telefono,Portátil X1,9,,Lorca,Laura
2025-12-10,1253,telefono,Portátil X1,10,Muy útil la explicación del técnico,,Carmen
2025-12-06,2329,telefono,Smartphone S10,7,,Cartagena,Lucia
2025-11-23,3513,web,Smartphone S10,8,La entrega se retrasó,,Antonio
2025-11-13,2573,telefono,Aspiradora V8,2,Amable la atención,Lorca,Lucia
2025-11-28,2610,web,Portátil X1,10,El sonido se corta a veces,,Lucia
2025-12-16,1522,web,Portátil X1,2,La entrega se retrasó,,Miguel
2025-11-01,4967,tienda,Auriculares H7,7,La entrega se retrasó,Cartagena,Antonio
2025-11-25,3900,tienda,Portátil X1,7,  Muy buena atención  ,Lorca,Antonio
2025-12-08,4689,telefono,Auriculares H7,8,  El sonido se corta a veces  ,,Antonio
2025-11-19,2758,web,Lavadora L2,4,,,Miguel
2025-12-20,3341,web,Lavadora L2,10,,,Miguel
2025-12-03,2793,tienda,Auriculares H7,1,La entrega se retrasó,Lorca,Lucia
2025-12-20,1147,web,Televisor Z3,nueve,"Todo bien, entrega rápida",,Miguel
2025-11-11,150,telefono,Smartphone S10,1,Muy útil la explicación del técnico,,Miguel
2025-11-10,3818,tienda,Portátil X1,3,Muy buena atención,,Antonio
2025-11-12,801,tienda,  Aspiradora V8  ,8,  Muy útil la explicación del técnico  ,Cartagena,Laura
2025-12-10,3169,tienda,Aspiradora V8,1,Buen rendimiento,,Laura
31-12-2025,4648,tienda,Lavadora L2,3,,,Carmen
2025-11-11,3619,telefono,Aspiradora V8,1,Buen rendimiento,,Lucia
2025-12-11,3675,web,Televisor Z3,4,Podría ser más potente,,Antonio
2025-11-21,3490,web,Smartphone S10,6,El sonido se corta a veces,,Laura
